Analysis For 2 class
accuracy
0.001
""
Accuracy Values
0.001
0.96299999999999997
recommended C value
"[[ 1.     0.998  0.996  0.994  0.994  0.994  0.994  0.992  0.986  0.98
   0.974  0.97   0.962  0.956  0.94   0.92   0.896  0.878  0.858  0.836
   0.794  0.776  0.746  0.714  0.68   0.634  0.576  0.536  0.49   0.452
   0.402  0.352  0.316  0.29   0.246  0.224  0.202  0.182  0.162  0.14
   0.118  0.1    0.09   0.072  0.07   0.06   0.054  0.046  0.04   0.038
   0.032  0.028  0.024  0.022  0.02   0.02   0.018  0.016  0.014  0.01
   0.008  0.008  0.008  0.004  0.004  0.002  0.002  0.002  0.002  0.002
   0.002  0.002  0.002  0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.   ]]","[[ 1.     1.     1.     1.     1.     1.     1.     1.     1.     1.     1.
   1.     1.     1.     1.     1.     1.     1.     1.     1.     1.     1.
   1.     1.     1.     1.     1.     1.     1.     1.     0.998  0.996
   0.996  0.996  0.994  0.994  0.994  0.994  0.992  0.992  0.992  0.992
   0.988  0.986  0.982  0.982  0.978  0.97   0.966  0.962  0.952  0.94
   0.928  0.924  0.914  0.886  0.856  0.838  0.818  0.79   0.76   0.738
   0.71   0.68   0.638  0.618  0.584  0.534  0.496  0.464  0.438  0.382
   0.36   0.322  0.28   0.258  0.224  0.196  0.17   0.156  0.136  0.12
   0.098  0.078  0.062  0.048  0.04   0.032  0.026  0.02   0.016  0.014
   0.01   0.008  0.006  0.004  0.004  0.004  0.002  0.002]]","[-3.09331419 -3.02909817 -2.96488214 -2.90066612 -2.83645009 -2.77223406
 -2.70801804 -2.64380201 -2.57958599 -2.51536996 -2.45115393 -2.38693791
 -2.32272188 -2.25850586 -2.19428983 -2.1300738  -2.06585778 -2.00164175
 -1.93742573 -1.8732097  -1.80899368 -1.74477765 -1.68056162 -1.6163456
 -1.55212957 -1.48791355 -1.42369752 -1.35948149 -1.29526547 -1.23104944
 -1.16683342 -1.10261739 -1.03840136 -0.97418534 -0.90996931 -0.84575329
 -0.78153726 -0.71732124 -0.65310521 -0.58888918 -0.52467316 -0.46045713
 -0.39624111 -0.33202508 -0.26780905 -0.20359303 -0.139377   -0.07516098
 -0.01094495  0.05327108  0.1174871   0.18170313  0.24591915  0.31013518
  0.37435121  0.43856723  0.50278326  0.56699928  0.63121531  0.69543133
  0.75964736  0.82386339  0.88807941  0.95229544  1.01651146  1.08072749
  1.14494352  1.20915954  1.27337557  1.33759159  1.40180762  1.46602365
  1.53023967  1.5944557   1.65867172  1.72288775  1.78710377  1.8513198
  1.91553583  1.97975185  2.04396788  2.1081839   2.17239993  2.23661596
  2.30083198  2.36504801  2.42926403  2.49348006  2.55769609  2.62191211
  2.68612814  2.75034416  2.81456019  2.87877621  2.94299224  3.00720827
  3.07142429  3.13564032  3.19985634  3.26407237]"
""
